time,open_bid,high_bid,low_bid,close_bid,open_ask,high_ask,low_ask,close_ask
2021/2/3 7:50,1.36559,1.36602,1.3655,1.36592,1.36649,1.36651,1.36599,1.36602
2021/2/3 7:51,1.36592,1.36609,1.36552,1.36608,1.36602,1.36649,1.36602,1.36618
2021/2/3 7:52,1.36608,1.36657,1.36595,1.36653,1.36618,1.36708,1.36617,1.36663
2021/2/3 7:53,1.36653,1.36653,1.36609,1.36649,1.36663,1.36703,1.36657,1.36659
2021/2/3 7:54,1.36649,1.3665,1.36647,1.36649,1.36659,1.3666,1.36657,1.36659
2021/2/3 7:55,1.36649,1.36649,1.36645,1.36647,1.36659,1.36659,1.36655,1.36657
2021/2/3 7:56,1.36647,1.36649,1.36573,1.36574,1.36657,1.36664,1.36623,1.36664
2021/2/3 7:57,1.36574,1.36618,1.36573,1.36578,1.36664,1.36668,1.36624,1.36668
2021/2/3 7:58,1.36578,1.36623,1.36578,1.36591,1.36668,1.36681,1.36632,1.36681
2021/2/3 7:59,1.36591,1.36632,1.3659,1.36591,1.36681,1.36681,1.3664,1.36681
2021/2/3 8:00,1.36591,1.36639,1.36591,1.36638,1.36681,1.36684,1.36636,1.36648
2021/2/3 8:01,1.36638,1.36648,1.36619,1.36624,1.36648,1.36658,1.36629,1.36634
2021/2/3 8:02,1.36624,1.36674,1.36624,1.36674,1.36634,1.36684,1.36634,1.36684
2021/2/3 8:03,1.36674,1.36688,1.3666,1.36667,1.36684,1.36698,1.3667,1.36677
2021/2/3 8:04,1.36667,1.3667,1.36666,1.3667,1.36677,1.3668,1.36676,1.3668
2021/2/3 8:05,1.3667,1.36671,1.36665,1.36666,1.3668,1.36681,1.36675,1.36676
2021/2/3 8:06,1.36666,1.36666,1.36638,1.3664,1.36676,1.36676,1.36648,1.3665
2021/2/3 8:07,1.3664,1.36656,1.36634,1.36656,1.3665,1.36666,1.36644,1.36666
2021/2/3 8:08,1.36656,1.36661,1.36655,1.36661,1.36666,1.36671,1.36665,1.36671
2021/2/3 8:09,1.36661,1.36663,1.36658,1.36659,1.36671,1.36673,1.36668,1.36669
2021/2/3 8:10,1.36659,1.36673,1.36659,1.36673,1.36669,1.36683,1.36669,1.36683
2021/2/3 8:11,1.36673,1.36677,1.36673,1.36677,1.36683,1.36687,1.36683,1.36687
2021/2/3 8:12,1.36677,1.36686,1.36677,1.36682,1.36687,1.36696,1.36687,1.36692
2021/2/3 8:13,1.36682,1.36685,1.36677,1.36685,1.36692,1.36695,1.36687,1.36695
2021/2/3 8:14,1.36685,1.36685,1.36672,1.36672,1.36695,1.36695,1.36682,1.36682
2021/2/3 8:15,1.36672,1.36673,1.36667,1.36673,1.36682,1.36683,1.36677,1.36683
2021/2/3 8:16,1.36673,1.36675,1.3667,1.36674,1.36683,1.36685,1.3668,1.36684
2021/2/3 8:17,1.36674,1.36674,1.36659,1.36659,1.36684,1.36684,1.36669,1.36669
2021/2/3 8:18,1.36659,1.36659,1.36656,1.36659,1.36669,1.36669,1.36666,1.36669
2021/2/3 8:19,1.36659,1.36659,1.36656,1.36657,1.36669,1.36669,1.36666,1.36667
2021/2/3 8:20,1.36657,1.36657,1.36647,1.36649,1.36667,1.36667,1.36657,1.36659
2021/2/3 8:21,1.36649,1.36649,1.36648,1.36648,1.36659,1.36659,1.36658,1.36658
2021/2/3 8:22,1.36648,1.36649,1.36637,1.36638,1.36658,1.36659,1.36647,1.36648
2021/2/3 8:23,1.36638,1.36638,1.36632,1.36633,1.36648,1.36648,1.36642,1.36643
2021/2/3 8:24,1.36633,1.36638,1.36633,1.36635,1.36643,1.36648,1.36643,1.36645
2021/2/3 8:25,1.36635,1.36637,1.36623,1.36625,1.36645,1.36647,1.36633,1.36635
2021/2/3 8:26,1.36625,1.36641,1.36625,1.36641,1.36635,1.36651,1.36635,1.36651
2021/2/3 8:27,1.36641,1.36648,1.3664,1.36647,1.36651,1.36658,1.3665,1.36657
2021/2/3 8:28,1.36647,1.36666,1.36647,1.36659,1.36657,1.36676,1.36657,1.36669
2021/2/3 8:29,1.36659,1.3666,1.3665,1.36658,1.36669,1.3667,1.3666,1.36668
2021/2/3 8:30,1.36658,1.36659,1.3665,1.36657,1.36668,1.36669,1.3666,1.36667
2021/2/3 8:31,1.36657,1.36657,1.36636,1.36636,1.36667,1.36667,1.36646,1.36646
2021/2/3 8:32,1.36636,1.36637,1.36628,1.36631,1.36646,1.36647,1.36638,1.36641
2021/2/3 8:33,1.36631,1.36632,1.36624,1.36625,1.36641,1.36642,1.36634,1.36635
2021/2/3 8:34,1.36625,1.36633,1.36623,1.36626,1.36635,1.36643,1.36633,1.36636
2021/2/3 8:35,1.36626,1.36628,1.36623,1.36627,1.36636,1.36638,1.36633,1.36637
2021/2/3 8:36,1.36627,1.36628,1.36624,1.36624,1.36637,1.36638,1.36634,1.36634
2021/2/3 8:37,1.36624,1.36628,1.36622,1.36627,1.36634,1.36638,1.36632,1.36637
2021/2/3 8:38,1.36627,1.36633,1.36625,1.36631,1.36637,1.36643,1.36635,1.36641
2021/2/3 8:39,1.36631,1.36633,1.36626,1.36631,1.36641,1.36643,1.36636,1.36641
2021/2/3 8:40,1.36631,1.36633,1.36626,1.36628,1.36641,1.36643,1.36636,1.36638
2021/2/3 8:41,1.36628,1.36641,1.36626,1.36641,1.36638,1.36651,1.36636,1.36651
2021/2/3 8:42,1.36641,1.36641,1.36638,1.3664,1.36651,1.36651,1.36648,1.3665
2021/2/3 8:43,1.3664,1.3664,1.36633,1.36637,1.3665,1.3665,1.36643,1.36647
2021/2/3 8:44,1.36637,1.36644,1.36634,1.36637,1.36647,1.36654,1.36644,1.36647
2021/2/3 8:45,1.36637,1.3666,1.36637,1.36659,1.36647,1.3667,1.36647,1.36669
2021/2/3 8:46,1.36659,1.36663,1.36647,1.36648,1.36669,1.36673,1.36657,1.36658
2021/2/3 8:47,1.36648,1.36649,1.36643,1.36643,1.36658,1.36659,1.36653,1.36653
2021/2/3 8:48,1.36643,1.36645,1.36643,1.36644,1.36653,1.36655,1.36653,1.36654
2021/2/3 8:49,1.36644,1.36644,1.36637,1.36637,1.36654,1.36654,1.36647,1.36647
2021/2/3 8:50,1.36637,1.36639,1.36622,1.36628,1.36647,1.36649,1.36632,1.36638
2021/2/3 8:51,1.36628,1.36628,1.36622,1.36623,1.36638,1.36638,1.36632,1.36633
2021/2/3 8:52,1.36623,1.36624,1.36619,1.36619,1.36633,1.36634,1.36629,1.36629
2021/2/3 8:53,1.36619,1.36622,1.36606,1.36612,1.36629,1.36632,1.36616,1.36622
2021/2/3 8:54,1.36612,1.36612,1.36594,1.36599,1.36622,1.36622,1.36604,1.36609
2021/2/3 8:55,1.36599,1.36611,1.36599,1.3661,1.36609,1.36621,1.36609,1.3662
2021/2/3 8:56,1.3661,1.36614,1.36607,1.3661,1.3662,1.36624,1.36617,1.3662
2021/2/3 8:57,1.3661,1.3661,1.36595,1.36595,1.3662,1.3662,1.36605,1.36605
2021/2/3 8:58,1.36595,1.36596,1.3659,1.3659,1.36605,1.36606,1.366,1.366
2021/2/3 8:59,1.3659,1.36594,1.36583,1.36588,1.366,1.36604,1.36593,1.36598
2021/2/3 9:00,1.36588,1.3661,1.36588,1.36599,1.36598,1.3662,1.36598,1.36609
2021/2/3 9:01,1.36599,1.366,1.36586,1.36591,1.36609,1.3661,1.36596,1.36601
2021/2/3 9:02,1.36591,1.36594,1.36589,1.36591,1.36601,1.36604,1.36599,1.36601
2021/2/3 9:03,1.36591,1.36594,1.3659,1.36594,1.36601,1.36604,1.366,1.36604
2021/2/3 9:04,1.36594,1.36598,1.36593,1.36596,1.36604,1.36608,1.36603,1.36606
2021/2/3 9:05,1.36596,1.36597,1.36592,1.36592,1.36606,1.36607,1.36602,1.36602
2021/2/3 9:06,1.36592,1.36626,1.36592,1.36624,1.36602,1.36636,1.36602,1.36634
2021/2/3 9:07,1.36624,1.36645,1.3662,1.36645,1.36634,1.36655,1.3663,1.36655
2021/2/3 9:08,1.36645,1.36646,1.36637,1.36645,1.36655,1.36656,1.36647,1.36655
2021/2/3 9:09,1.36645,1.36649,1.36645,1.36647,1.36655,1.36659,1.36655,1.36657
2021/2/3 9:10,1.36647,1.36653,1.36643,1.3665,1.36657,1.36663,1.36653,1.3666
2021/2/3 9:11,1.3665,1.36661,1.3664,1.36641,1.3666,1.36671,1.3665,1.36651
2021/2/3 9:12,1.36641,1.36648,1.36638,1.36645,1.36651,1.36658,1.36648,1.36655
2021/2/3 9:13,1.36645,1.36647,1.36634,1.36635,1.36655,1.36657,1.36644,1.36645
2021/2/3 9:14,1.36635,1.36637,1.36619,1.3662,1.36645,1.36647,1.36629,1.3663
2021/2/3 9:15,1.3662,1.36635,1.36618,1.36618,1.3663,1.36645,1.36628,1.36628
2021/2/3 9:16,1.36618,1.36635,1.36618,1.36628,1.36628,1.36645,1.36628,1.36638
2021/2/3 9:17,1.36628,1.36628,1.36615,1.36619,1.36638,1.36638,1.36625,1.36629
2021/2/3 9:18,1.36619,1.36632,1.36618,1.36618,1.36629,1.36642,1.36628,1.36628
2021/2/3 9:19,1.36618,1.36623,1.36609,1.3662,1.36628,1.36633,1.36619,1.3663
2021/2/3 9:20,1.3662,1.3662,1.36615,1.36616,1.3663,1.3663,1.36625,1.36626
